position_x:0.0 position_y:0.0 position_z:1.1752631664276123
position_x:81.51895904541016 position_y:-26.618770599365234 position_z:-3.5761070251464844
position_x:81.9091796875 position_y:-26.940793991088867 position_z:-3.487783670425415
position_x:82.40533447265625 position_y:-27.354063034057617 position_z:-3.387878179550171
position_x:82.79650115966797 position_y:-27.681772232055664 position_z:-3.336784601211548
position_x:83.20590209960938 position_y:-28.030242919921875 position_z:-3.272941827774048
position_x:83.5982894897461 position_y:-28.376256942749023 position_z:-3.2949471473693848
position_x:84.00032043457031 position_y:-28.745763778686523 position_z:-3.3482134342193604
position_x:84.51634979248047 position_y:-29.241918563842773 position_z:-3.377312183380127
position_x:84.90283966064453 position_y:-29.63405418395996 position_z:-3.3648176193237305
position_x:85.2623062133789 position_y:-30.02298927307129 position_z:-3.36421537399292
position_x:85.59457397460938 position_y:-30.412548065185547 position_z:-3.4393460750579834
position_x:85.89350128173828 position_y:-30.79306411743164 position_z:-3.5950398445129395
position_x:86.26358032226562 position_y:-31.3182430267334 position_z:-3.91131329536438
position_x:86.5127182006836 position_y:-31.689088821411133 position_z:-4.063904285430908
position_x:86.75279998779297 position_y:-32.0560188293457 position_z:-4.137969970703125
position_x:86.9886245727539 position_y:-32.42698287963867 position_z:-4.151118755340576
position_x:87.2154769897461 position_y:-32.77790069580078 position_z:-4.136028289794922
position_x:87.50647735595703 position_y:-33.17158508300781 position_z:-4.135361671447754
position_x:87.7544174194336 position_y:-33.45153045654297 position_z:-4.182300090789795
position_x:87.9993896484375 position_y:-33.70161819458008 position_z:-4.222466468811035
position_x:88.25479888916016 position_y:-33.93464660644531 position_z:-4.2564191818237305
position_x:88.53467559814453 position_y:-34.14469528198242 position_z:-4.325387477874756
position_x:88.89958190917969 position_y:-34.3848991394043 position_z:-4.308113098144531
position_x:89.21049499511719 position_y:-34.54427719116211 position_z:-4.251437664031982
position_x:89.55132293701172 position_y:-34.6627082824707 position_z:-4.213465213775635
position_x:89.92867279052734 position_y:-34.75743103027344 position_z:-4.14017915725708
position_x:90.3051986694336 position_y:-34.819522857666016 position_z:-4.063653469085693
position_x:90.87989044189453 position_y:-34.868106842041016 position_z:-3.9251739978790283
position_x:91.28632354736328 position_y:-34.85909652709961 position_z:-3.9111289978027344
position_x:91.69969940185547 position_y:-34.827144622802734 position_z:-3.9071848392486572
position_x:92.12909698486328 position_y:-34.77892303466797 position_z:-3.8644821643829346
position_x:92.5615234375 position_y:-34.72145080566406 position_z:-3.7580671310424805
position_x:93.00092315673828 position_y:-34.651161193847656 position_z:-3.6575393676757812
position_x:93.43657684326172 position_y:-34.56871795654297 position_z:-3.6046907901763916
position_x:93.89217376708984 position_y:-34.47459030151367 position_z:-3.5969836711883545
position_x:94.30970764160156 position_y:-34.38225555419922 position_z:-3.6399974822998047
position_x:94.72410583496094 position_y:-34.29103088378906 position_z:-3.688026189804077
position_x:95.2795639038086 position_y:-34.167274475097656 position_z:-3.67496657371521
position_x:95.7005386352539 position_y:-34.07060623168945 position_z:-3.6372313499450684
position_x:96.14271545410156 position_y:-33.96842575073242 position_z:-3.6009256839752197
position_x:96.57393646240234 position_y:-33.87021255493164 position_z:-3.600264072418213
position_x:97.02355194091797 position_y:-33.77120590209961 position_z:-3.5664291381835938
position_x:97.64385986328125 position_y:-33.642154693603516 position_z:-3.578442335128784
position_x:98.10127258300781 position_y:-33.5523796081543 position_z:-3.597698926925659
position_x:98.56929016113281 position_y:-33.463623046875 position_z:-3.563708782196045
position_x:99.03679656982422 position_y:-33.37957763671875 position_z:-3.533539295196533
position_x:99.51375579833984 position_y:-33.2979736328125 position_z:-3.4896762371063232
position_x:100.11144256591797 position_y:-33.1963005065918 position_z:-3.3717784881591797
position_x:100.59771728515625 position_y:-33.113033294677734 position_z:-3.3409838676452637
position_x:101.06938934326172 position_y:-33.026092529296875 position_z:-3.38295841217041
position_x:101.53755187988281 position_y:-32.92900085449219 position_z:-3.455843448638916
position_x:101.99003601074219 position_y:-32.82909393310547 position_z:-3.476435661315918
position_x:102.48735046386719 position_y:-32.71209716796875 position_z:-3.4412758350372314
position_x:102.9461441040039 position_y:-32.593902587890625 position_z:-3.4132633209228516
position_x:103.39486694335938 position_y:-32.470829010009766 position_z:-3.36415696144104
position_x:103.83841705322266 position_y:-32.33838653564453 position_z:-3.320946455001831
position_x:104.29993438720703 position_y:-32.194061279296875 position_z:-3.3083293437957764
position_x:104.96239471435547 position_y:-31.989803314208984 position_z:-3.2902562618255615
position_x:105.411376953125 position_y:-31.855289459228516 position_z:-3.311901569366455
position_x:105.85682678222656 position_y:-31.724905014038086 position_z:-3.2653822898864746
position_x:106.31143951416016 position_y:-31.597427368164062 position_z:-3.1462156772613525
position_x:106.755859375 position_y:-31.478181838989258 position_z:-3.0042006969451904
position_x:107.29806518554688 position_y:-31.341663360595703 position_z:-2.9102752208709717
position_x:107.7398910522461 position_y:-31.23590087890625 position_z:-2.870370864868164
position_x:108.19355773925781 position_y:-31.128673553466797 position_z:-2.7819395065307617
position_x:108.64617919921875 position_y:-31.02001190185547 position_z:-2.712998867034912
position_x:109.10611724853516 position_y:-30.906309127807617 position_z:-2.675075054168701
position_x:109.65038299560547 position_y:-30.768688201904297 position_z:-2.623518705368042
